,item_id,name,category,link,price
933,30501128,GRÖNLID,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/groenlid-cover-for-chaise-longue-section-inseros-white-30501128/,SR290
934,90516075,TROFAST,Nursery furniture,https://www.ikea.com/sa/en/p/trofast-wall-storage-white-90516075/,SR90
935,564400,LINANÄS,Beds,https://www.ikea.com/sa/en/p/linanaes-sofa-protector-for-2-seat-sofa-vissle-dark-green-00564400/,SR200
936,10411242,VITVAL,Beds,https://www.ikea.com/sa/en/p/vitval-loft-bed-frame-white-light-grey-10411242/,"SR1,995"
937,539608,JÄTTEBO,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/jaettebo-cover-for-headrest-cushion-samsala-grey-beige-00539608/,SR100
938,20345633,KOLBJÖRN,Bookcases & shelving units,https://www.ikea.com/sa/en/p/kolbjoern-cabinet-in-outdoor-beige-20345633/,SR895
939,50496381,IDÅSEN,Cabinets & cupboards,https://www.ikea.com/sa/en/p/idasen-cabinet-with-doors-and-drawers-dark-grey-50496381/,"SR1,495"
940,80242627,HEMNES,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/hemnes-chest-of-2-drawers-white-stain-80242627/,SR495
941,10565197,TROFAST,Nursery furniture,https://www.ikea.com/sa/en/p/trofast-wall-storage-grey-10565197/,SR90
942,20498937,LACK,TV & media furniture,https://www.ikea.com/sa/en/p/lack-tv-bench-black-brown-20498937/,SR279
943,40548267,HYLTARP,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/hyltarp-cover-f-3-seat-sofa-w-chs-lng-left-hallarp-white-40548267/,SR795
944,20515239,HÖVLIG,Children's furniture,https://www.ikea.com/sa/en/p/hoevlig-childrens-tent-20515239/,SR199
945,50330970,PLATSA,Cabinets & cupboards,https://www.ikea.com/sa/en/p/platsa-frame-white-50330970/,SR250
946,50522733,LÄCKÖ,Outdoor furniture,https://www.ikea.com/sa/en/p/laeckoe-2-seat-sofa-outdoor-grey-50522733/,SR455
947,323359,BILLY,Bookcases & shelving units,https://www.ikea.com/sa/en/p/billy-height-extension-unit-brown-ash-veneer-00323359/,SR129
948,20467813,TROTTEN,Tables & desks,https://www.ikea.com/sa/en/p/trotten-drawer-unit-w-2-drawers-on-castors-white-20467813/,SR375
949,10320341,KULLABERG,Dining furniture,https://www.ikea.com/sa/en/p/kullaberg-swivel-chair-pine-black-10320341/,SR345
950,50564134,KNARREVIK,Chests of drawers & drawer units,https://www.ikea.com/sa/en/p/knarrevik-bedside-table-bright-blue-50564134/,SR59
951,50280296,STOCKSUND,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/stocksund-cover-for-armchair-nolhaga-grey-beige-50280296/,SR495
952,14630009,INGO,Dining furniture,https://www.ikea.com/sa/en/p/ingo-table-pine-14630009/,SR399
953,40521852,JÄRVFJÄLLET,Chairs,https://www.ikea.com/sa/en/p/jaervfjaellet-office-chair-with-armrests-grann-white-40521852/,"SR1,195"
954,30496565,UDMUND,Dining furniture,https://www.ikea.com/sa/en/p/udmund-chair-white-viarp-beige-brown-30496565/,SR325
955,30252906,BEKANT,Tables & desks,https://www.ikea.com/sa/en/p/bekant-underframe-for-table-top-black-30252906/,SR945
956,90538826,PYNTEN,Children's furniture,https://www.ikea.com/sa/en/p/pynten-children-s-seat-pad-for-desk-chair-turquoise-90538826/,SR30
957,80348879,KIVIK,Armchairs & chaise longues,https://www.ikea.com/sa/en/p/kivik-cover-for-chaise-longue-hillared-beige-80348879/,SR595
